filing_date,language,name,entity_status,art_unit
20180207,en,IBM,large,2113
20161219,en,LM WP PATENT HOLDING AS,large,3745
20160202,en,ZIDER ROBERT B,small,2872
20180824,en,FUJITSU LTD,large,2111
20170929,en,NUCTECH CO LTD,large,2884
20190829,en,WILLIAMS PAUL L,micro,3711
20180322,en,TENCENT TECH SHENZHEN CO LTD,large,2698
20181127,en,YANG LI YEH,small,2623
20190402,en,MICROSOFT TECHNOLOGY LICENSING LLC,large,2648
20180501,en,SAUDI ARABIAN OIL CO,large,1768
20160202,en,ZIDER ROBERT B,small,2872
20181016,en,FCA US LLC,large,3612
20180520,en,MOTION OFFENSE LLC,small,2454
20140313,en,UNIV BAR ILAN,small,2872
20180617,en,ACTELIS NETWORKS ISRAEL LTD,small,2631
20190529,en,IBM,large,2893
20181121,en,JENTZSCH KEVIN REED,small,3656
20190315,en,MAPSTED CORP,small,2642
20180208,en,ESDEC B V,large,3631
20190111,en,ERICSSON TELEFON AB L M,large,2411
20170329,en,FLORIDA TURBINE TECH INC,large,3675
20170929,en,SEASONS 4 INC,small,2875
20171207,en,SEMICONDUCTOR MFG INT SHANGHAI CORP,large,2651
20181019,en,STANLEY ELECTRIC CO LTD,large,2844
20181019,en,STANLEY ELECTRIC CO LTD,large,2844
20180427,en,TuSimple,small,2666
20171211,en,CATERPILLAR INC,large,3659
20160615,en,KONINKLIJKE PHILIPS NV,large,2884
20180709,en,IBM,large,2192
20170929,en,NUCTECH CO LTD,large,2884
20181016,en,CHARLES MACHINE WORKS,large,3671
20140313,en,UNIV UTAH RES FOUND,small,2872
20140313,en,UNIV BAR ILAN,small,2872
20160331,en,KONECRANES GLOBAL CORP,large,3662
20180521,en,FREEPORT MCMORAN INC,large,3661
20150716,en,BREVILLE R & D PTY LTD,large,3754
20171212,en,AMAZON TECH INC,large,2836
20161213,en,MAGLIULO JAMES D,micro,3734
20170222,en,KYOCERA CORP,large,2817
20171011,en,ARVINAS INC,small,1626
20171221,en,BAE SYS INF & ELECT SYS INTEG,large,3648
20180327,en,CELL ASSIST LLC,small,3661
20181127,en,HUANG CHUN HAO,small,2623
20180420,en,TTI MACAO COMMERCIAL OFFSHORE LTD,large,3723
20190225,en,LUMILEDS LLC,large,2897
20181203,en,NUFLARE TECHNOLOGY INC,large,2881
20181025,en,SAMSUNG ELECTRONICS CO LTD,large,2897
20190319,en,CREDENCE ENG INC,small,3753
20180430,en,EMC IP HOLDING CO LLC,large,2137
